82,soil_water_T_Avg(1),soil_water_T_Avg(1),soil_water_T_Avg(1),soil_water_T_Avg(1),soil_water_T_Avg(1)[1]
83,soil_water_T_Avg(2),soil_water_T_Avg(2),soil_water_T_Avg(2),soil_water_T_Avg(2),soil_water_T_Avg(2)[2]
84,Tsoil_avg(1),Tsoil_avg(1),Tsoil_avg(1),Tsoil_avg(1),Tsoil_avg(1)[1]
85,Tsoil_avg(2),Tsoil_avg(2),Tsoil_avg(2),Tsoil_avg(2),Tsoil_avg(2)[2]
86,shf_cal(1),shf_cal(1),shf_cal(1),shf_cal(1),shf_cal(1)[1]
87,shf_cal(2),shf_cal(2),shf_cal(2),shf_cal(2),shf_cal(2)[2]
88,shf_cal(3),shf_cal(3),shf_cal(3),shf_cal(3),shf_cal(3)[3]
89,shf_cal(4),shf_cal(4),shf_cal(4),shf_cal(4),shf_cal(4)[4]
90,cs616_Avg(1),cs616_Avg(1),cs616_Avg(1),cs616_Avg(1),cs616_Avg(1)[1]
91,cs616_Avg(2),cs616_Avg(2),cs616_Avg(2),cs616_Avg(2),cs616_Avg(2)[2]
92,co2stor_Avg,co2stor_Avg,co2stor_Avg,co2stor_Avg,co2stor_Avg
93,co2_wpl_LE,co2_wpl_LE,co2_wpl_LE,co2_wpl_LE,co2_wpl_LE
94,co2_wpl_H,co2_wpl_H,co2_wpl_H,co2_wpl_H,co2_wpl_H
95,h2o_wpl_LE,h2o_wpl_LE,h2o_wpl_LE,h2o_wpl_LE,h2o_wpl_LE
96,h2o_wpl_H,h2o_wpl_H,h2o_wpl_H,h2o_wpl_H,h2o_wpl_H
97,Rn_Avg,Rn_Avg,Rn_Avg,Rn_Avg,Rn_Avg
