Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year
SoilTemp_10cm,degC,SoilTemp_10cm,met,Final_Filled,NaN,NaN,Ts10,Ts10,Ts10,Ts10,Ts10
SoilTemp_20cm,degC,SoilTemp_20cm,met,Final_Filled,NaN,NaN,Ts20,Ts20,Ts20,Ts20,Ts20
SoilTemp_50cm,degC,SoilTemp_50cm,met,Final_Filled,NaN,NaN,Ts50,Ts50,Ts50,Ts50,Ts50
SoilTemp_100cm,degC,SoilTemp_100cm,met,Final_Filled,NaN,NaN,Ts100,Ts100,Ts100,Ts100,Ts100
VWC_A_0_30cm_avg,m3/m3,SM_A_30_avg,met,Final_Filled,NaN,NaN,SM_a,SM_a,SM_a,SM_a,SM_a
VWC_B_0_30cm_avg,m3/m3,SM_B_30_avg,met,Final_Filled,NaN,NaN,SM_b,SM_b,SM_b,SM_b,SM_b
VWC_A_0_30cm,m3/m3,SM_A_30_filled,met,Final_Filled,SM3,%6.4f,SM_a_filled,SM_a_filled,SM_a_filled,SM_a_filled,SM_a_filled
VWC_B_0_30cm,m3/m3,SM_B_30_filled,met,Final_Filled,SM3,%6.4f,SM_b_filled,SM_b_filled,SM_b_filled,SM_b_filled,SM_b_filled
GEONOR_PPT,mm,GEO_PPT,ppt,Final_Filled,NaN,NaN,GEO_PPT,GEO_PPT,GEO_PPT,GEO_PPT,GEO_PPT
NEE_OPEC,umol/m2/s,NEE_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GEP_filled_OPEC,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R_filled_OPEC,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NEE_OPEC_noBurba,umol/m2/s,NEE_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FC_OPEC,umol/m2/s,Fc,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2_top_OPEC,ppm,CO2_top,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2_cpy_OPEC,ppm,CO2_cpy,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LE_OPEC,W/m2,LE_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H_OPEC,W/m2,Hs_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LE_OPEC_noBurba,W/m2,LE_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fc_OPEC_noBurba,umol/m2/s,Fc_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ustar_OPEC,m/s,u_star,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2O_OPEC,mmol/mol,H2O_top,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_OPEC,umol/m2/s,dcdt,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_1h_OPEC,umol/m2/s,dcdt_1h,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_2h_OPEC,umol/m2/s,dcdt_2h,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Schuepp_60flag,flag,Schuepp60,footprint,Final_Calculated,NaN,NaN,Schuepp_60flag,Schuepp_60flag,Schuepp_60flag,NaN,Schuepp_60flag
Schuepp_65flag,flag,Schuepp65,footprint,Final_Calculated,NaN,NaN,Schuepp_65flag,Schuepp_65flag,Schuepp_65flag,NaN,Schuepp_65flag
Schuepp_70flag,flag,Schuepp70,footprint,Final_Calculated,NaN,NaN,Schuepp_70flag,Schuepp_70flag,Schuepp_70flag,NaN,Schuepp_70flag
Schuepp_75flag,flag,Schuepp75,footprint,Final_Calculated,NaN,NaN,Schuepp_75flag,Schuepp_75flag,Schuepp_75flag,NaN,Schuepp_75flag
Schuepp_80flag,flag,Schuepp80,footprint,Final_Calculated,NaN,NaN,Schuepp_80flag,Schuepp_80flag,Schuepp_80flag,NaN,Schuepp_80flag
Schuepp_85flag,flag,Schuepp85,footprint,Final_Calculated,NaN,NaN,Schuepp_85flag,Schuepp_85flag,Schuepp_85flag,NaN,Schuepp_85flag
Schuepp_90flag,flag,Schuepp90,footprint,Final_Calculated,NaN,NaN,Schuepp_90flag,Schuepp_90flag,Schuepp_90flag,NaN,Schuepp_90flag
w_std_CPEC,m/s,w_std,cpec,Final_Cleaned,NaN,NaN,w_std,w_std,NaN,w_std,NaN
CO2_std_CPEC,ppm,CO2_std,cpec,Final_Cleaned,NaN,NaN,CO2_std,CO2_std,NaN,CO2_std,NaN
