Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year,YEAR,NaN
SWP_B_2cm,kPa,SWP_B_2cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP2cmB,NaN,NaN
SWP_B_5cm,kPa,SWP_B_5cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP5cmB,NaN,NaN
SWP_B_10cm,kPa,SWP_B_10cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP10cmB,NaN,NaN
SWP_B_20cm,kPa,SWP_B_20cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP20cmB,NaN,NaN
SWP_B_50cm,kPa,SWP_B_50cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP50cmB,NaN,NaN
SWP_B_100cm,kPa,SWP_B_100cm,met,Final_Cleaned,SM2,%6.3f,NaN,NaN,NaN,NaN,SWP100cmB,NaN,NaN
VWC_A_2cm,m3/m3,SM_A_2cm,met,Final_Cleaned,SM2,%6.4f,SM2cmA,SM2cmA,NaN,NaN,SM2cmA,NaN,SWC_1_1_1
VWC_A_5cm,m3/m3,SM_A_5cm,met,Final_Cleaned,SM2,%6.4f,SM5cmA,SM5cmA,NaN,NaN,SM5cmA,SWC1,SWC_1_2_1
VWC_A_10cm,m3/m3,SM_A_10cm,met,Final_Cleaned,SM2,%6.4f,SM10cmA,SM10cmA,NaN,NaN,SM10cmA,SWC2,SWC_1_3_1
VWC_A_20cm,m3/m3,SM_A_20cm,met,Final_Cleaned,SM2,%6.4f,SM20cmA,SM20cmA,NaN,NaN,SM20cmA,NaN,SWC_1_4_1
VWC_A_50cm,m3/m3,SM_A_50cm,met,Final_Cleaned,SM2,%6.4f,SM50cmA,SM50cmA,NaN,NaN,SM50cmA,NaN,SWC_1_5_1
VWC_A_100cm,m3/m3,SM_A_100cm,met,Final_Cleaned,SM2,%6.4f,SM100cmA,SM100cmA,NaN,NaN,SM100cmA,NaN,SWC_1_6_1
VWC_B_2cm,m3/m3,SM_B_2cm,met,Final_Cleaned,SM2,%6.4f,SM2cmB,SM2cmB,NaN,NaN,SM2cmB,NaN,SWC_2_1_1
VWC_B_5cm,m3/m3,SM_B_5cm,met,Final_Cleaned,SM2,%6.4f,SM5cmB,SM5cmB,NaN,NaN,SM5cmB,SWC1b,SWC_2_2_1
VWC_B_10cm,m3/m3,SM_B_10cm,met,Final_Cleaned,SM2,%6.4f,SM10cmB,SM10cmB,NaN,NaN,SM10cmB,SWC2b,SWC_2_3_1
VWC_B_20cm,m3/m3,SM_B_20cm,met,Final_Cleaned,SM2,%6.4f,SM20cmB,SM20cmB,NaN,NaN,SM20cmB,NaN,SWC_2_4_1
VWC_B_50cm,m3/m3,SM_B_50cm,met,Final_Cleaned,SM2,%6.4f,SM50cmB,SM50cmB,NaN,NaN,SM50cmB,NaN,SWC_2_5_1
VWC_B_100cm,m3/m3,SM_B_100cm,met,Final_Cleaned,SM2,%6.4f,SM100cmB,SM100cmB,NaN,NaN,SM100cmB,NaN,SWC_2_6_1
SoilHeatFluxPlate_A_3cm,W/m2,SoilHeatFlux_HFT_1,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_1_1_1
SoilHeatFluxPlate_B_3cm,W/m2,SoilHeatFlux_HFT_2,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_2_1_1
SoilHeatFluxPlate_C_3cm,W/m2,SoilHeatFlux_HFT_3,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_3_1_1
SoilHeatFluxPlate_D_3cm,W/m2,SoilHeatFlux_HFT_4,met,Final_Cleaned,Met2,%7.3f,NaN,NaN,NaN,NaN,NaN,NaN,G_4_1_1
AirTemp_AbvCnpy_36m,degC,AirTemp_AbvCnpy,met,Final_Filled,Met3,%6.3f,Ta,Ta,Ta,Ta,Ta,TA,TA_F
RelHum_AbvCnpy_36m,%,RelHum_AbvCnpy,met,Final_Filled,Met3,%7.3f,RH,RH,RH,RH,RH,RH,RH_F
